N,alpha,M,conc_succ_prob,kappa_med,sigma_rel_med,sigma_abs_med,max_w_95per,pos_prob,nan_prob
16,5.5,244,0.578,0.7620897943084418,2393.8079353809107,0.9503914983645826,4.769898865673657,0.0,0.0
16,5.875,261,0.634,0.7619759527374481,2397.5744309472548,0.928390119397343,4.570954170233817,0.0,0.0
16,6.25,278,0.673,0.7619767651726317,2555.6114569616157,0.8887522356330259,4.515779594255282,0.0,0.0
16,6.625,294,0.736,0.7619034267795681,2417.0813808730827,0.8659852805566157,4.415527165237077,0.0,0.0
16,7.0,311,0.769,0.7619512929083382,2441.4008867144003,0.8668849031454764,4.324095832147874,0.0,0.0
16,7.375,328,0.815,0.7619365983262835,2451.803860204177,0.8189135426835706,4.3715270054180415,0.0,0.0
16,7.75,344,0.853,0.7618652621087614,2658.819788466979,0.7765391126245549,4.230530157217836,0.0,0.0
16,8.125,361,0.863,0.7618807590199105,2513.833734283587,0.7673721929773636,4.233214822692641,0.0,0.0
16,8.5,378,0.891,0.7618544926824719,2409.743974748315,0.7477699003307673,4.108425738162948,0.0,0.0
16,8.875,394,0.917,0.7618629643523693,2459.275132260541,0.7315064345827811,4.013074841499348,0.002,0.0
16,9.25,411,0.919,0.761828948968132,2514.578136974077,0.7331857179426828,4.129848358854297,0.0,0.0
16,9.625,427,0.929,0.7618625848561098,2539.836798988288,0.699704130016596,3.928306286888959,0.0,0.0
16,10.0,444,0.95,0.7618408681928006,2542.365546254614,0.6844852149652962,3.989719526727289,0.0,0.0
18,1.0,53,0.0,0.7827275402293659,13539.404792073687,3.4075353051037487,14.429897030944614,0.0,0.0
18,1.375,72,0.0,0.7672540389560605,12461.079566254353,2.6033042084427978,10.275987736032821,0.0,0.0
18,1.75,92,0.001,0.7648443762485305,12796.156081337322,2.1535031088237933,9.023400588818204,0.0,0.0
18,2.125,111,0.007,0.7634119264725656,12728.690850879859,1.790307263424992,7.902394172020532,0.0,0.0
18,2.5,131,0.019,0.7629469667299711,13200.526861680595,1.639903677237689,7.014524769144935,0.0,0.0
18,2.875,150,0.066,0.7625029034274274,13519.65277515939,1.5256411030396544,6.641667551294858,0.0,0.0
18,3.25,170,0.108,0.7624628070739027,14496.069649903455,1.378916184481037,6.12793565225224,0.0,0.0
18,3.625,189,0.159,0.7621717067597551,15041.346858877481,1.31241410714797,5.712709269285704,0.0,0.0
18,4.0,209,0.229,0.7622118876791041,15491.445036541894,1.2407949786048516,5.450657184515048,0.0,0.0
18,4.375,228,0.343,0.7620824005853883,14028.16758653731,1.1466216664826123,5.3395727621595,0.0,0.0
18,4.75,248,0.412,0.7620238640776272,15063.996348776123,1.1109338031798546,5.197470002590731,0.0,0.0
18,5.125,267,0.493,0.7620801360906009,15577.158091535723,1.0687245799569425,5.1021074124390715,0.0,0.0
18,5.5,287,0.587,0.7619412613307398,14908.150213247958,1.0050218382655742,4.925594103007585,0.0,0.0
18,5.875,306,0.627,0.7619334989198355,15736.461517786796,0.980274311160082,4.809496754098485,0.0,0.0
18,6.25,326,0.689,0.7618967972428387,15306.213857449873,0.9444782858008154,4.7596350081314025,0.0,0.0
18,6.625,345,0.716,0.7618691418124415,15451.863339136271,0.8989457741574879,4.523046951144139,0.0,0.0
18,7.0,365,0.773,0.7618766022409649,15634.556527806522,0.872724966843198,4.421276613409508,0.0,0.0
18,7.375,384,0.823,0.7618910832992754,16587.629273071077,0.8768120967842432,4.491128018322523,0.0,0.0
18,7.75,404,0.848,0.7618347884529875,15356.641623134776,0.8452489191855422,4.341877712356146,0.0,0.0
18,8.125,423,0.89,0.7618762805453078,16155.515162534091,0.810521202977918,4.3915275946567665,0.0,0.0
18,8.5,443,0.903,0.7618998618918271,14970.226957989484,0.7775926015706665,4.288669627004392,0.0,0.0
18,8.875,462,0.916,0.7618642251662923,15599.843549168547,0.7816377835026083,4.22971384722335,0.0,0.0
18,9.25,482,0.92,0.7618336244707731,17460.826146119827,0.7755858267292725,4.236028323757916,0.0,0.0
18,9.625,501,0.939,0.761845127732447,15950.310060345462,0.7497087783653489,4.124751631352203,0.0,0.0
18,10.0,521,0.956,0.761846884629021,16352.469661758136,0.7345222674559443,4.153214467492817,0.0,0.0
20,1.0,60,0.0,0.7827906189153517,84946.36061706734,3.864075889885713,14.906414177973627,0.0,0.0
20,1.375,83,0.0,0.7672448583131082,72830.01941303976,2.813118062894336,10.846469894214685,0.0,0.0
20,1.75,105,0.0,0.7638760881215404,78675.67700761545,2.3220693105018437,9.632006916470093,0.0,0.0
20,2.125,128,0.003,0.763238608894659,83953.87360413128,2.050806012127574,8.062398559695048,0.0,0.0
20,2.5,150,0.016,0.7627715045996718,83034.40314116995,1.7813220680400041,7.1655939235145585,0.0,0.0
20,2.875,173,0.045,0.762499020222559,90769.96845295641,1.619979401314021,6.897626547106892,0.0,0.0
20,3.25,195,0.075,0.7625158411127048,89082.68662184197,1.5212398391123492,6.256637688325433,0.0,0.0
20,3.625,218,0.146,0.7622072763103376,92955.40235585102,1.4028714844159267,5.909614797047814,0.0,0.0
20,4.0,240,0.21,0.7621956488662729,97770.91161258792,1.3021604663979034,5.83571762985475,0.0,0.0
20,4.375,263,0.272,0.762075007070783,93204.63300728076,1.2592502150367013,5.620261360952018,0.0,0.0
20,4.75,285,0.4,0.7620853623651528,110503.20950658135,1.2115381472609315,5.261369929583733,0.0,0.0
20,5.125,308,0.452,0.7619717200614092,100276.36035944332,1.1296355109406504,5.184482480395238,0.0,0.0
20,5.5,330,0.523,0.7620777787294838,103434.77665969462,1.0803357409574486,5.2357750437607535,0.0,0.0
20,5.875,352,0.572,0.7619959097447282,105962.23250628554,1.0806120929016212,4.9605815439433805,0.0,0.0
20,6.25,375,0.661,0.7619981497108173,101907.33312696026,1.0275831035161787,4.96495252575026,0.0,0.0
20,6.625,397,0.7,0.7619857294364771,101664.77900078439,0.9999042533576521,4.843963185386862,0.0,0.0
20,7.0,420,0.78,0.7619121162494549,103730.74288228562,0.9403172881831842,4.754677795464667,0.0,0.0
20,7.375,442,0.768,0.7619293417404276,109702.76279455674,0.9270716218480852,4.659339592467678,0.0,0.0
20,7.75,465,0.83,0.7619030197173253,117046.04087681649,0.8713811857440873,4.588841942950621,0.0,0.0
20,8.125,487,0.844,0.7618960284459042,106342.66388026514,0.8460547456043739,4.6218637347703,0.0,0.0
20,8.5,510,0.879,0.7618741378529874,109681.60008537126,0.8370563539234754,4.439504380945719,0.0,0.0
20,8.875,532,0.897,0.7618336794806775,101133.19148788654,0.810699176381934,4.4897440271041535,0.0,0.0
