N,alpha,M,conc_succ_prob,kappa_med,sigma_rel_med,sigma_abs_med,max_w_95per,pos_prob,nan_prob
12,2.125,64,0.0,56.430836479924295,1117.8709026950005,299.19985241597897,3504.546589083274,0.0,0.0
12,2.5,75,0.0,42.813992457592526,883.0498687227823,256.6220561144703,1931.2141811521658,0.0,0.0
12,2.875,86,0.0,35.076043074910785,790.1520222781576,214.01504518453385,1604.0880972237846,0.001,0.0
12,3.25,97,0.0,23.923976838167597,522.772990218264,160.11059332354864,1226.7206368742848,0.001,0.0
12,3.625,109,0.0,19.046306818191045,484.63935351996054,140.4978322225291,884.8972287204562,0.0,0.0
12,4.0,120,0.0,16.56677827662147,462.37796882854394,125.20231162645297,802.3833946317623,0.0,0.0
12,4.375,131,0.0,13.01163807251507,348.76181748172087,103.03963833218819,629.0613050550942,0.001,0.0
12,4.75,142,0.0,11.962249144873962,334.9921955579408,96.84630078136139,634.3039102847746,0.001,0.0
12,5.125,153,0.0,10.502823339142255,345.984245736801,92.50800244651742,546.5849667168942,0.001,0.0
12,5.5,165,0.0,8.663243526512641,279.0712864633464,79.64333102952489,476.0118519786517,0.001,0.0
12,5.875,176,0.0,8.409183902413345,284.5589522126612,79.19107081372425,436.91025173822175,0.002,0.0
12,6.25,187,0.0,7.023173936144321,224.96463447305695,67.86664451258144,374.9849970772107,0.004,0.0
12,6.625,198,0.0,6.682471359930611,227.28426084540382,66.17941386443913,375.0213559042481,0.002,0.0
12,7.0,209,0.0,6.043293056476074,196.59217474012956,64.22417605125966,356.04635010280447,0.0,0.0
12,7.375,220,0.0,5.661581735957946,207.92503590491094,61.398466561889634,310.4401126086818,0.002,0.0
12,7.75,232,0.0,5.412999949150299,202.22672816869678,57.5827326019574,310.6364984570032,0.002,0.0
12,8.125,243,0.0,4.987085199807483,183.8125473036394,55.537336088276575,312.0190920509801,0.003,0.0
12,8.5,254,0.0,4.633500566040887,182.01187242402483,54.69769444102083,287.92492300164065,0.005,0.0
12,8.875,265,0.0,4.377519238677329,164.42005693027198,52.22306839311844,274.8437598766213,0.007,0.0
12,9.25,276,0.0,4.084283201464222,147.39623426948384,48.8412597223994,236.645697728735,0.001,0.0
12,9.625,288,0.0,4.134380280502699,158.82665342481585,52.17900942613852,263.76390609828263,0.006,0.0
12,10.0,299,0.0,3.6181057771958436,144.08463962081998,44.527451420406436,234.4822325933603,0.005,0.0
14,1.0,37,0.0,6641.117963426136,90477.46716531878,22921.90227523991,248137.1491351121,0.0,0.0
14,1.375,51,0.0,1868.1121384472963,32558.848458517037,8819.305810225185,106895.63411015214,0.0,0.0
14,1.75,65,0.0,805.3220334571013,15371.869328091687,4437.743333494542,54002.96043701078,0.0,0.0
14,2.125,79,0.0,498.91931990940026,10198.742454139365,3074.015073113308,29789.627140527336,0.0,0.0
14,2.5,93,0.0,303.1831350784099,7070.957207304022,1853.214386114234,19031.864948229253,0.0,0.0
14,2.875,107,0.0,209.11761185861388,5285.402438519503,1389.0836764943783,13219.433826664392,0.0,0.0
14,3.25,121,0.0,146.44356403460495,4282.690009054803,1095.3811832015288,9873.0775414444,0.0,0.0
14,3.625,134,0.0,135.36689033195609,4063.0215574569156,1067.8561661797175,8605.555888914381,0.0,0.0
14,4.0,148,0.0,105.57419110990786,3009.3860111561817,863.5718888572477,6315.717729209205,0.0,0.0
14,4.375,162,0.0,80.05472898855784,2837.690906727232,689.6666008558489,4963.383964104189,0.0,0.0
14,4.75,176,0.0,76.11078179883582,2765.656599722255,688.1164819085934,4409.6382194631005,0.0,0.0
14,5.125,190,0.0,58.74979841845289,2134.261814073375,545.4352266237158,3721.915328733698,0.0,0.0
